ward_code,osni_ward_lgd,nimdm_ward_lgd
95OO21,MULLAGHMORE Dungannon,Mullaghmore Dungannon
95OO22,WASHING BAY Dungannon,Washing Bay Dungannon
95PP01,BALLINAMALLARD Fermanagh,Ballinamallard Fermanagh
95PP02,BELCOO AND GARRISON Fermanagh,Belcoo and Garrison Fermanagh
95PP03,BELLEEK AND BOA Fermanagh,Belleek and Boa Fermanagh
95PP05,BROOKEBOROUGH Fermanagh,Brookeborough Fermanagh
95PP06,CASTLECOOLE Fermanagh,Castlecoole Fermanagh
95PP07,DERRYGONNELLY Fermanagh,Derrygonnelly Fermanagh
95PP08,DERRYLIN Fermanagh,Derrylin Fermanagh
95PP09,DEVENISH Fermanagh,Devenish Fermanagh
95PP10,DONAGH Fermanagh,Donagh Fermanagh
95PP11,ERNE Fermanagh,Erne Fermanagh
95PP12,FLORENCE COURT AND KINAWLEY Fermanagh,Florence Court and Kinawley Fermanagh
95PP13,IRVINESTOWN Fermanagh,Irvinestown Fermanagh
95PP15,LISBELLAW Fermanagh,Lisbellaw Fermanagh
95PP16,LISNARRICK Fermanagh,Lisnarrick Fermanagh
95PP17,LISNASKEA Fermanagh,Lisnaskea Fermanagh
95PP18,MAGUIRES BRIDGE Fermanagh,Maguires Bridge Fermanagh
95PP19,NEWTOWNBUTLER Fermanagh,Newtownbutler Fermanagh
95PP20,PORTORA Fermanagh,Portora Fermanagh
95PP21,ROSSLEA Fermanagh,Rosslea Fermanagh
95PP22,ROSSORRY Fermanagh,Rossorry Fermanagh
95PP23,TEMPO Fermanagh,Tempo Fermanagh
95QQ01,ANTIVILLE Larne,Antiville Larne
95QQ02,BALLYCARRY Larne,Ballycarry Larne
95QQ03,BALLYLORAN Larne,Ballyloran Larne
95QQ04,BLACKCAVE Larne,Blackcave Larne
95QQ05,CARNCASTLE Larne,Carncastle Larne
95QQ06,CARNLOUGH Larne,Carnlough Larne
95QQ07,CENTRAL Larne,Central Larne
95QQ08,CRAIGY HILL Larne,Craigy Hill Larne
95QQ09,GARDENMORE Larne,Gardenmore Larne
95QQ10,GLENARM Larne,Glenarm Larne
95QQ11,GLYNN Larne,Glynn Larne
95QQ12,HARBOUR Larne,Harbour Larne
95QQ13,ISLAND MAGEE Larne,Island Magee Larne
95QQ14,KILWAUGHTER Larne,Kilwaughter Larne
95QQ15,TOWN PARKS Larne,Town Parks Larne
95RR01,AGHANLOO Limavady,Aghanloo Limavady
95RR02,BALLYKELLY Limavady,Ballykelly Limavady
95RR03,COOLESSAN Limavady,Coolessan Limavady
95RR04,DUNGIVEN Limavady,Dungiven Limavady
95RR05,ENAGH Limavady,Enagh Limavady
95RR06,FEENY Limavady,Feeny Limavady
95RR07,FOREST Limavady,Forest Limavady
95RR08,GLACK Limavady,Glack Limavady
95RR09,GRESTEEL Limavady,Gresteel Limavady
95RR10,GREYSTONE Limavady,Greystone Limavady
95RR11,MAGILLIGAN Limavady,Magilligan Limavady
95RR12,RATHBRADY Limavady,Rathbrady Limavady
95RR13,ROESIDE Limavady,Roeside Limavady
95RR14,THE HIGHLANDS Limavady,The Highlands Limavady
95RR15,UPPER GLENSHANE Limavady,Upper Glenshane Limavady
95SS01,BALLINDERRY Lisburn,Ballinderry Lisburn
95SS02,BALLYMACASH Lisburn,Ballymacash Lisburn
95SS03,BALLYMACBRENNAN Lisburn,Ballymacbrennan Lisburn
95SS04,BALLYMACOSS Lisburn,Ballymacoss Lisburn
95SS05,BLARIS Lisburn,Blaris Lisburn
95SS06,COLLIN GLEN Lisburn,Collin Glen Lisburn
95SS07,DERRYAGHY Lisburn,Derryaghy Lisburn
95SS08,DROMARA Lisburn,Dromara Lisburn
95SS09,DRUMBO Lisburn,Drumbo Lisburn
95SS10,DUNMURRY Lisburn,Dunmurry Lisburn
95SS11,GLENAVY Lisburn,Glenavy Lisburn
95SS12,HARMONY HILL Lisburn,Harmony Hill Lisburn
95SS13,HILDEN Lisburn,Hilden Lisburn
95SS14,HILLHALL Lisburn,Hillhall Lisburn
95SS15,HILLSBOROUGH Lisburn,Hillsborough Lisburn
95SS16,KILWEE Lisburn,Kilwee Lisburn
95SS17,KNOCKMORE Lisburn,Knockmore Lisburn
95SS18,LAGAN VALLEY Lisburn,Lagan Valley Lisburn
95SS19,LAMBEG Lisburn,Lambeg Lisburn
95SS21,MAGHABERRY Lisburn,Maghaberry Lisburn
95SS22,MAGHERALAVE Lisburn,Magheralave Lisburn
95SS23,MAZE Lisburn,Maze Lisburn
95SS24,MOIRA Lisburn,Moira Lisburn
95SS25,OLD WARREN Lisburn,Old Warren Lisburn
95SS26,POLEGLASS Lisburn,Poleglass Lisburn
95SS27,SEYMOUR HILL Lisburn,Seymour Hill Lisburn
95SS28,TONAGH Lisburn,Tonagh Lisburn
95SS29,TWINBROOK Lisburn,Twinbrook Lisburn
95SS30,WALLACE PARK Lisburn,Wallace Park Lisburn
95TT01,BALLYMAGUIGAN Magherafelt,Ballymaguigan Magherafelt
